Macroárea,Área de Estudo,Nome,Gênero,Bolsa PQ,Instituição,Estado da Instituição,Região da Instituição
Ciências da Vida,Medicina Veterinária,Marilia Martins Melo,Mulher,PQ-1B,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Marion Pereira da Costa,Mulher,PQ-C,UFBA,BA,Nordeste
Ciências da Vida,Medicina Veterinária,Marlete Brum Cleff,Mulher,PQ-C,UFPEL,RS,Sul
Ciências da Vida,Medicina Veterinária,Mateus Matiuzzi da Costa,Homem,PQ-1A,UNIVASF,PE,Nordeste
Ciências da Vida,Medicina Veterinária,Matheus Nunes Weber,Homem,PQ-C,UFRGS,RS,Sul
Ciências da Vida,Medicina Veterinária,Matias Pablo Juan Szabó,Homem,PQ-1D,UFU,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Mauricio Claudio Horta,Homem,PQ-C,UNIVASF,PE,Nordeste
Ciências da Vida,Medicina Veterinária,Maurício Veloso Brun,Homem,PQ-1C,UFSM,RS,Sul
Ciências da Vida,Medicina Veterinária,Mayra Elena Ortiz D' Avila Assumpcao,Mulher,PQ-2,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Milene Alvarenga Rachid,Mulher,PQ-1C,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Moacir Franco de Oliveira,Homem,PQ-1A,UFERSA,RN,Nordeste
Ciências da Vida,Medicina Veterinária,Monique Tomazele Rovani,Mulher,PQ-2,UFRGS,RS,Sul
Ciências da Vida,Medicina Veterinária,Murilo Vieira da Silva,Homem,PQ-C,UFU,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Márcio Botelho de Castro,Homem,PQ-1C,UnB,DF,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Márcio Gilberto Zangeronimo,Homem,PQ-1B,UFLA,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Mário Felipe Alvarez Balaro,Homem,PQ-2,UFF,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Mônica Queiroz de Freitas,Mulher,PQ-1B,UFF,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Nathalie Costa da Cunha,Mulher,PQ-2,UFF,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Odir Antonio Dellagostin,Homem,PQ-1A,UFPEL,RS,Sul
Ciências da Vida,Medicina Veterinária,Oliveiro Caetano de Freitas Neto,Homem,PQ-2,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Paola Castro Moraes,Mulher,PQ-C,UNESP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Patrícia Silva Gôlo,Mulher,PQ-C,UFRRJ,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Paulo Bayard Dias Gonçalves,Homem,PQ-C,UFSM,RS,Sul
Ciências da Vida,Medicina Veterinária,Paulo César Maiorka,Homem,PQ-2,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Paulo Eduardo Brandão,Homem,PQ-1C,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Pedro Paulo Maia Teixeira,Homem,PQ-C,UFPA,PA,Norte
Ciências da Vida,Medicina Veterinária,Pedro Vicente Michelotto Júnior,Homem,PQ-C,PUC/PR,PR,Sul
Ciências da Vida,Medicina Veterinária,Pierre Castro Soares,Homem,PQ-2,UFRPE,PE,Nordeste
Ciências da Vida,Medicina Veterinária,Pietro Sampaio Baruselli,Homem,PQ-1A,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Priscylla Tatiana Chalfun Guimaraes Okamoto,Mulher,PQ-2,FMVZ,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Rafael Almeida Fighera,Homem,PQ-1C,UFSM,RS,Sul
Ciências da Vida,Medicina Veterinária,Rafael Fagnani,Homem,PQ-2,UEL,PR,Sul
Ciências da Vida,Medicina Veterinária,Rafael Resende Faleiros,Homem,PQ-2,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Rafael da Rosa Ulguim,Homem,PQ-2,UFRGS,RS,Sul
Ciências da Vida,Medicina Veterinária,Raimundo Alves Barrêto Júnior,Homem,PQ-2,UFERSA,RN,Nordeste
